-----------------------------------------
| author                        | count |
| "O Connor, P. M."             | 2     |
| "Zhang, Z.-Q."                | 5     |
| "Harzhauser, M."              | 5     |
| "Price, G. D."                | 2     |
| "Shen, S.-Z."                 | 2     |
| "Vaughan, P. R."              | 2     |
| "Vishnevskaya, V. S."         | 2     |
| "Tong, H."                    | 2     |
| "Kouchinsky, A."              | 2     |
| "Gross, M."                   | 2     |
| "Galacz, A."                  | 2     |
| "Pavia, M."                   | 2     |
| "Vega, F.J."                  | 2     |
| "Langer, M.R."                | 2     |
| "Szrek, P."                   | 2     |
| "Schmidt, C. J."              | 3     |
| "Anderson, R. Y."             | 5     |
| "Sathe, T.V."                 | 2     |
| "Han, N.-r."                  | 2     |
| "Rieppel, O."                 | 2     |
| "Delattre, M. P."             | 2     |
| "Stevens, N. J."              | 2     |
| "Schweigert, G."              | 5     |
| "Harper, D. A."               | 4     |
| "Sha, J."                     | 2     |
| "Shrivastava, J.N."           | 2     |
| "Blondel, C."                 | 2     |
| "Zhu, X.-j."                  | 3     |
| "Kerp, H."                    | 2     |
| "Zalasiewicz, J. A."          | 2     |
| "Siveter, D. J."              | 3     |
| "Jiang, H."                   | 3     |
| "Sprowl, D. R."               | 2     |
| "Martin, A."                  | 2     |
| "Hohenegger, J."              | 2     |
| "EVANS, D. J."                | 2     |
| "Sierro, F. J."               | 5     |
| "Cione, A. L."                | 2     |
| "Williams, M."                | 6     |
| "Enos, P."                    | 2     |
| "HARPER, D. A."               | 2     |
| "Aufgebauer, A."              | 2     |
| "Kellner, A.W.A."             | 10    |
| "POTT, C."                    | 2     |
| "Mix, A. C."                  | 2     |
| "Lin, Q. H."                  | 2     |
| "WANG, Y."                    | 2     |
| "Defant, M. J."               | 2     |
| "Krystyn, L."                 | 2     |
| "Patil, A.E."                 | 2     |
| "Meyer, C. A."                | 2     |
| "Ifrim, C."                   | 4     |
| "Massari, F."                 | 2     |
| "Adey, W."                    | 2     |
| "Ponomarenko, A. G."          | 3     |
| "Hong, B."                    | 2     |
| "Tanaka, G."                  | 2     |
| "Figueirido, B."              | 2     |
| "Acosta Hospitaleche, C."     | 2     |
| "Rich, T."                    | 3     |
| "Bethoux, O."                 | 3     |
| "Feldmann, R. M."             | 6     |
| "Key, M.M."                   | 2     |
| "Egi, N."                     | 2     |
| "Miller, G. H."               | 2     |
| "Stoetzel, E."                | 2     |
| "Goldberg, K."                | 2     |
| "Hussein-Kamel, Y."           | 2     |
| "Murphy, B.R. "               | 2     |
| "Kettler, T."                 | 5     |
| "Woo, J."                     | 2     |
| "Yang, J."                    | 4     |
| "Won, M.-Z."                  | 2     |
| "Young, S. A."                | 2     |
| "ZAMORA, S."                  | 2     |
| "VIZCANO, S. F."              | 2     |
| "Bateman, M. D."              | 2     |
| "AUSICH, W. I."               | 2     |
| "Reguero, M."                 | 2     |
| "HUGHES, P. D."               | 2     |
| "Suc, J. P."                  | 2     |
| "Mamo, M."                    | 7     |
| "Valenzuela-Rios, J.I. "      | 2     |
| "Bitner, M.A."                | 4     |
| "Colman, S. M."               | 2     |
